PU1,PEOU1,TECH1,ORG1,ENV1,PU2,PEOU2,TECH2,ORG2,ENV2,PU3,PEOU3,TECH3,ORG3,ENV3,INT1,INT2,INT3,PERF1,CUST1,PERF2,CUST2,PERF3,CUST3,Age,Experience,Department,Gender,Random_Noise1,Random_Noise2,Unused_Category
4.126502404675286,3.8359104544390217,2.785725280079658,4.829861501141722,2.0202474976289513,3.8835228419266756,2.9030981568252745,3.0293254207436036,4.3854308882935324,2.6677279485787273,3.856465405616899,3.8284973689186024,3.6393987692634653,4.1264225711487175,2.4815627996142515,4.551607535172953,4.114833374198262,4.512861342227953,2.5125275153800675,3.4213800043491203,2.3717273414745588,3.159066981155182,1.644632214494243,,40.0,,HR,Female,-1.092606083322227,68.0,D
,3.643541978343339,3.7578810923343022,3.2468185855237675,3.7215936552905697,3.634644674774286,4.0647900632730884,3.1614246705931945,2.9138728027871585,3.8729784858311986,3.2198744485095854,4.026089940863188,2.4264789890212093,3.6225393961937944,2.8548373601120867,3.1658150427062113,3.509555475095626,3.4009452114392618,2.3382466220887324,,2.4350317183389025,2.268891735406366,2.5944558128931896,2.213869416473579,28.0,20.0,Operations,Female,0.6519185800296843,46.0,A
4.482121531280386,4.251888132553793,3.2185335460467828,3.5823002944165205,3.666302387577538,3.857671355537658,3.7263707271951247,4.583806832603214,3.6802144968758443,3.655420830975005,4.34033940465591,4.037735109517596,3.844075473410033,4.841463107935834,3.250357979733741,3.836522477504038,4.632199094311625,3.8900157114640863,1.830696071925537,3.2380522310256343,1.8134934528875866,2.909131187455488,1.7103428784670547,3.5568570375641384,34.0,6.0,Operations,Male,2.1796642399790436,67.0,D
4.243509242306727,3.9838873100805396,3.8986483821142164,3.879527010919686,4.989238483410256,4.451032855265749,3.0460855359079115,3.467994356748003,3.506436568142017,4.73741440412139,4.409356085032886,,2.4365616104123813,3.273442928148933,5.0,3.941899572941656,4.451772778259892,4.1978854715593155,2.381135219124215,,2.4680423138244465,2.3571329634602227,2.76877652494728,2.825143325312397,44.0,15.0,,Female,0.7004940974663696,24.0,A
4.175921790152916,4.108286867606724,3.172486594836798,5.0,4.372156592431727,4.5391672757694534,3.9413521094072954,2.6575399761108387,4.733466786995907,,5.0,4.076288568135578,2.796233442916111,4.201692976863245,4.148731709978236,3.815541662274338,3.824222632103579,3.9672516383886656,2.6628797833348554,3.140419323218125,2.34815648059387,3.4044393390854535,2.5508824791840414,3.449773163989084,37.0,23.0,IT,Female,1.3109213850038448,71.0,D
5.0,3.088427206152259,3.6210398768933514,3.9391685945700288,4.349517853499252,,,5.0,3.982788285961705,5.0,4.616711393700023,3.5405435955813784,4.21879192323871,4.320722221998933,4.562917907334635,4.67646194489384,4.413403832498867,4.566416318622297,2.8540734267915107,2.84573850146698,2.187030407137187,3.1384756871434623,3.2228921510421626,2.566219338744993,22.0,24.0,Sales,,0.2606916412150831,78.0,D
3.9752503440215428,3.042838766148117,4.0580005388531815,4.177720896016076,3.9885583779724434,4.52011857446567,3.6197754410506073,4.695756039872335,3.4584406046675245,3.9935957633675065,3.9007233706746494,3.8773133997265963,5.0,3.916048735870402,3.4216884908450345,4.60229437114513,4.198073417121269,4.095468563851598,,,,2.015013054453458,1.8272299270197174,1.9037474702033224,31.0,18.0,HR,Female,-1.385191476065563,24.0,D
4.326085390488569,3.6682968780860854,3.6744592513123258,,,4.279025291776764,,4.813156460543505,3.8088139688976277,4.131557616928115,3.946561399640401,3.646273549845772,3.829019865000236,3.134161912503959,3.973280958099811,4.003079200317971,3.7611386286503103,4.581581014239235,,3.586095285939423,2.162225692157401,3.117022934635179,1.8406255953591046,2.873825585518498,35.0,15.0,Operations,Male,-0.009298367600582329,43.0,A
3.930008762581028,2.9334698909235244,2.388237235704761,3.97431749925265,2.480196371536172,3.614585690394094,,,,2.2655977339841638,4.056821185812585,3.3333330141631006,2.3842077359669407,4.244151012416497,3.565666561256644,3.3857462441410755,2.762136573852797,4.123003096608703,1.5414217919887596,1.6028067744670282,1.7779963437382102,2.2685967742458915,1.452962358145797,1.5000269390144645,22.0,15.0,IT,Male,0.37627261824165525,85.0,D
3.8163835540391613,3.340450437266586,2.926856556646139,2.7720833549580477,3.9127685829428707,3.9611346426121306,2.8404236872344373,3.0260887247120283,3.3106526554871145,3.206927184371311,4.0323685683276675,3.3834101953270017,2.7612973125135927,3.6135075820252545,3.9683833765922523,3.710117291066445,3.480036812052761,3.4791015511478642,2.3420579472474103,2.2430360462908783,2.57646368471654,,2.1566486842217936,2.7875586573493503,42.0,10.0,Customer Service,Male,-0.43654636400717195,95.0,B
